Headlines,Time,Description
Marc Benioff: Salesforce's deal with AT&T is one of the 'largest transactions we've ever done'," 6:51  PM ET Thu, 28 May 2020","""This is a transformational opportunity for AT&T wireless,"" Salesforce CEO Marc Benioff told CNBC's Jim Cramer."
"HP CEO commits to company's buyback program, says stock is 'undervalued'"," 8:51  PM ET Wed, 27 May 2020","""[W]e are going to stay committed to the principles that we shared in the value plan,"" HP CEO Enrique Lores said on ""Mad Money."""
Cramer's lightning round: Waste Management is a buy," 7:16  PM ET Wed, 27 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
'I think they're confused' — Jim Cramer says bull investors have one thing wrong about the economy," 7:07  PM ET Wed, 27 May 2020","""I'm betting the field will be spread out by the time we get to the homestretch, and many of the current winners will fall behind,"" the ""Mad Money"" host said."
Corteva Agriscience expects mid-Michigan floods to have a 'minimal impact' on revenue," 8:56  PM ET Tue, 26 May 2020","""Only 1% of our second half revenue is dependent on any of the products that come out of Midland,"" CEO Jim Collins said."
Jim Cramer reveals what stocks to own if betting on a V-shaped recovery," 8:31  PM ET Tue, 26 May 2020","""If we don't have a giant outbreak in the states that are aggressively reopening — a big if — then a V-shaped recovery is actually on the table,"" the ""Mad Money"" host said."
Cramer's lightning round: Canopy is 'most legit' of the cannabis stocks," 7:45  PM ET Tue, 26 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer shakes up his Cramer Covid-19 Index: Wall Street is 'more confident' about a recovery," 6:55  PM ET Tue, 26 May 2020","""The market's gotten more confident that we'll have a speedy, V-shaped recovery ... and that makes the recession stocks less attractive,"" the ""Mad Money"" host said."
"Target saw strength in April 'across our entire portfolio,' CEO Brian Cornell says"," 7:19  PM ET Thu, 21 May 2020","""We're building market share and I think most importantly ... we built trust with American consumers during the pandemic,"" Target CEO Brian Cornell said."
"Shelter-in-place will have a 'lasting impact on consumer behavior,' Jim Cramer says"," 7:15  PM ET Thu, 21 May 2020","""Just remember, even as we reopen for business, the new normal is not the old normal,"" the ""Mad Money"" host said."
Cramer's lightning round: I prefer Tesla to Ford," 6:52  PM ET Thu, 21 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
'Wall Street doesn't like ad hominem' — Jim Cramer warns of renewed U.S.-China tensions," 6:50  PM ET Thu, 21 May 2020","""I think we should hold off on another trade war until the economy's in better shape,"" the ""Mad Money"" host said."
Cramer's lightning round: Consolidation is a 'positive' for Citrix Systems," 7:01  PM ET Wed, 20 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"FAANG emerges as the latest group to lead the market, Jim Cramer says"," 6:32  PM ET Wed, 20 May 2020","""This market's been going through leadership groups like there's no tomorrow,"" the ""Mad Money"" host said."
Lowe's to support reopening minority businesses with $25 million in grants," 6:18  PM ET Wed, 20 May 2020","""To all my fellow CEOs out there running large companies: Let's do our part to help the small businesses get back up and going,"" Lowe's CEO Marvin Ellison said."
Small and mid-cap equities are more reflective of the real U.S. economy: Wells Fargo," 4:42  AM ET Wed, 20 May 2020","Kirk Hartman of Wells Fargo Asset Management says the gap between U.S. small caps and large caps is closing. He sees some value in the small-cap space, but the key is to have the economy recover first."
"Coronavirus is powering the rush for web-based contact centers, Five9 CEO says"," 8:11  PM ET Tue, 19 May 2020",Five9 CEO Rowan Trollope said the cloud-based communications provider saw an acceleration of new companies adopting the service to continue operations.
"'We've probably taken a depression off the table,' Jim Cramer says"," 8:01  PM ET Tue, 19 May 2020","""I'm not saying this market's done going down. There's always the possibility that we get more sell-offs,"" the ""Mad Money"" host said."
Cramer's lightning round: Disney is going to get through this," 7:06  PM ET Tue, 19 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Jim Cramer: Chart action suggests more upside if the S&P 500 breaks key hurdle," 6:48  PM ET Tue, 19 May 2020","""This is still a very uncertain moment,"" the ""Mad Money"" host said."
Cramer's lightning round: Penske Automotive is 'a very inexpensive stock'," 8:33  PM ET Mon, 18 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer advises investors not to get too optimistic over Moderna vaccine progress," 6:57  PM ET Mon, 18 May 2020",The "Mad Money" host explained why investors should shape their portfolio to account for more positive and negative information on the coronavirus fight.
Here's what's driving stocks higher despite mounting economic worries: Kevin O'Leary," 9:45  AM ET Sat, 16 May 2020","The stock market's divergence from its dismal economic backdrop can be explained, ETF analysts say."
DraftKings CEO: esports betting surged during pandemic due to 'pent-up demand' for sports," 9:54  AM ET Sat, 16 May 2020","""I think what it shows you is there's a lot of pent-up demand for sports,"" DraftKings CEO Jason Robins said."
Cramer's lightning round: Never buy Caterpillar going into a recession," 7:24  PM ET Fri, 15 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
